,LDPC_code,Prob_block_error,SNRbDB,SNRcDB,average_probaility_error,count_time,message_sending_time,noise_set,scaling_factor,xlen,ylen
0,test_code_AWGN,0.0109,0.0,3.0103,0.00406,36.83,100000.0,0.5,1.0,5,3
0,test_code_AWGN,0.0117,0.0,3.0103,0.00444,47.25,100000.0,0.5,1.0,5,3
0,test_code_AWGN,0.0095,0.1755,3.1858,0.00358,37.05,100000.0,0.49,1.0,5,3
0,test_code_AWGN,0.00835,0.3546,3.3649,0.00324,37.16,100000.0,0.48,1.0,5,3
0,test_code_AWGN,0.00838,0.3546,3.3649,0.00322,50.93,100000.0,0.48,1.0,5,3
0,test_code_AWGN,0.00706,0.5374,3.5477,0.00267,37.24,100000.0,0.47,1.0,5,3
0,test_code_AWGN,0.00727,0.5374,3.5477,0.00279,67.01,100000.0,0.47,1.0,5,3
0,test_code_AWGN,0.00624,0.7242,3.7345,0.00237,66.76,100000.0,0.46,1.0,5,3
0,test_code_AWGN,0.0052,0.9151,3.9254,0.00199,41.15,100000.0,0.45,1.0,5,3
0,test_code_AWGN,0.00192,1.9382,4.9485,0.0007478,45.76,100000.0,0.4,1.0,5,3
0,test_code_AWGN,0.00686,0.7242,3.7345,0.00262,38.06,100000.0,0.46,1.0,5,3
0,test_code_AWGN,0.00514,0.9151,3.9254,0.001927,36.84,100000.0,0.45,1.0,5,3
0,test_code_AWGN,0.00448,1.1103,4.1206,0.001717,39.3,100000.0,0.44,1.0,5,3
0,test_code_AWGN,0.00352,1.31,4.3203,0.001317,40.2,100000.0,0.43,1.0,5,3
0,test_code_AWGN,0.00294,1.5144,4.5247,0.00114,37.25,100000.0,0.42,1.0,5,3
0,test_code_AWGN,0.00192,1.9382,4.9485,0.0007478,45.76,100000.0,0.4,1.0,5,3
0,test_code_AWGN,0.001515,2.1581,5.1684,0.000605,344.11,1000000.0,0.39,1.0,5,3
0,test_code_AWGN,0.001218,2.3837,5.394,0.000489,300.03,1000000.0,0.38,1.0,5,3
0,test_code_AWGN,0.0009927,2.6154,5.6257,0.000403,312.43,1000000.0,0.37,1.0,5,3
0,test_code_AWGN,0.000739,2.8534,5.8637,0.0002977,278.05,1000000.0,0.36,1.0,5,3
0,test_code_AWGN,0.000611,3.098,6.1083,0.0002587,277.41,1000000.0,0.35,1.0,5,3
0,test_code_AWGN,0.000455,3.3498,6.3601,0.0001817,290.81,1000000.0,0.34,1.0,5,3
0,test_code_AWGN,0.000329,3.6091,6.6194,0.0001377,276.12,1000000.0,0.33,1.0,5,3
0,test_code_AWGN,0.000253,3.8764,6.8867,0.000107,291.27,1000000.0,0.32,1.0,5,3
0,test_code_AWGN,0.000185,4.1522,7.1625,7.97e-05,363.9,1000000.0,0.31,1.0,5,3
0,test_code_AWGN,0.000178,4.1522,7.1625,7.2e-05,284.58,1000000.0,0.31,1.0,5,3
0,test_code_AWGN,0.000138,4.437,7.4473,5.5e-05,360.36,1000000.0,0.3,1.0,5,3
0,test_code_AWGN,7.8e-05,4.7314,7.7417,3.3e-05,440.98,1000000.0,0.29,1.0,5,3
0,test_code_AWGN,5.4e-05,5.0362,8.0465,2.5e-05,295.92,1000000.0,0.28,1.0,5,3
0,third_LDPC_code(112_56),0.32136,-2.9226,0.0877,0.011442,683.68,100000.0,0.7,1.0,112,56
0,third_LDPC_code(112_56),0.29096,-2.7976,0.2127,0.009952,687.77,100000.0,0.69,1.0,112,56
0,third_LDPC_code(112_56),0.26011,-2.6708,0.3395,0.008589107,681.73,100000.0,0.68,1.0,112,56
0,third_LDPC_code(112_56),0.01296,1.7237,4.734,0.0002559,690.44,100000.0,0.41,1.0,112,56
0,third_LDPC_code(112_56),0.232,-2.5421,0.4682,0.00747,685.52,100000.0,0.67,1.0,112,56
0,third_LDPC_code(112_56),0.20521,-2.4115,0.5988,0.0064021,691.38,100000.0,0.66,1.0,112,56
0,third_LDPC_code(112_56),0.17919,-2.2789,0.7314,0.0053975,673.67,100000.0,0.65,1.0,112,56
0,third_LDPC_code(112_56),0.15705,-2.1442,0.8661,0.00453964,650.01,100000.0,0.64,1.0,112,56
0,third_LDPC_code(112_56),0.13933,-2.0074,1.0029,0.00389964,647.97,100000.0,0.63,1.0,112,56
0,third_LDPC_code(112_56),0.12186,-1.8684,1.1419,0.00330803,670.01,100000.0,0.62,1.0,112,56
0,third_LDPC_code(112_56),0.10482,-1.7272,1.2831,0.002768,688.51,100000.0,0.61,1.0,112,56
0,third_LDPC_code(112_56),0.0902,-1.5836,1.4267,0.0022839,688.05,100000.0,0.6,1.0,112,56
0,third_LDPC_code(112_56),0.07789,-1.4376,1.5727,0.0019048,676.98,100000.0,0.59,1.0,112,56
0,third_LDPC_code(112_56),0.07006,-1.2892,1.7211,0.0017018,674.9,100000.0,0.58,1.0,112,56
0,third_LDPC_code(112_56),0.06124,-1.1381,1.8722,0.0014325,1515.43,100000.0,0.57,1.0,112,56
0,third_LDPC_code(112_56),0.05292,-0.9844,2.0259,0.0012053,698.41,100000.0,0.56,1.0,112,56
0,third_LDPC_code(112_56),0.04828,-0.8279,2.1824,0.00108125,701.53,100000.0,0.55,1.0,112,56
0,third_LDPC_code(112_56),0.04348,-0.6685,2.3418,0.00095643,709.49,100000.0,0.54,1.0,112,56
0,third_LDPC_code(112_56),0.03893,-0.5061,2.5042,0.00083089,700.91,100000.0,0.53,1.0,112,56
0,third_LDPC_code(112_56),0.0349,-0.3407,2.6696,0.000742142,704.52,100000.0,0.52,1.0,112,56
0,third_LDPC_code(112_56),0.03275,-0.172,2.8383,0.000693035,701.33,100000.0,0.51,1.0,112,56
0,third_LDPC_code(112_56),0.02909,0.0,3.0103,0.0006055357,692.85,100000.0,0.5,1.0,112,56
0,third_LDPC_code(112_56),0.02666,0.1755,3.1858,0.00055,696.73,100000.0,0.49,1.0,112,56
0,third_LDPC_code(112_56),0.02666,0.1755,3.1858,0.0005508928,696.73,100000.0,0.49,1.0,112,56
0,third_LDPC_code(112_56),0.02476,0.3546,3.3649,0.0005,692.64,100000.0,0.48,1.0,112,56
0,third_LDPC_code(112_56),0.02331,0.5374,3.5477,0.000475,675.24,100000.0,0.47,1.0,112,56
0,third_LDPC_code(112_56),0.02148,0.7242,3.7345,0.00044,688.22,100000.0,0.46,1.0,112,56
0,third_LDPC_code(112_56),0.01972,0.9151,3.9254,0.0004,699.61,100000.0,0.45,1.0,112,56
0,third_LDPC_code(112_56),0.01743,1.1103,4.1206,0.00035,681.99,100000.0,0.44,1.0,112,56
0,third_LDPC_code(112_56),0.01591,1.31,4.3203,0.00032,681.95,100000.0,0.43,1.0,112,56
0,third_LDPC_code(112_56),0.01394,1.5144,4.5247,0.00028,687.79,100000.0,0.42,1.0,112,56
0,third_LDPC_code(112_56),0.01301,1.7237,4.734,0.00026,685.66,100000.0,0.41,1.0,112,56
0,third_LDPC_code(112_56),0.01095,1.9382,4.9485,0.00022,685.48,100000.0,0.4,1.0,112,56
0,third_LDPC_code(112_56),0.0101,2.1581,5.1684,0.0002,690.29,100000.0,0.39,1.0,112,56
0,third_LDPC_code(112_56),0.008359,2.3837,5.394,0.00017,673.42,100000.0,0.38,1.0,112,56
0,third_LDPC_code(112_56),0.00872,2.3837,5.394,0.00017,683.62,100000.0,0.38,1.0,112,56
0,third_LDPC_code(112_56),0.00687,2.6154,5.6257,0.00014,675.04,100000.0,0.37,1.0,112,   
0,third_LDPC_code(112_56),0.00585,2.8534,5.8637,0.00012,668.24,100000.0,0.36,1.0,112,56
0,third_LDPC_code(112_56),0.004984,3.098,6.1083,9.8946e-05,6135.22,1000000.0,0.35,1.0,112,56
0,third_LDPC_code(112_56),0.00403,3.3498,6.3601,8.1036e-05,6445.71,1000000.0,0.34,1.0,112,56
0,third_LDPC_code(112_56),0.0032,3.6091,6.6194,6.419642e-05,6359.01,1000000.0,0.33,1.0,112,56
0,third_LDPC_code(112_56),0.0013,3.8764,6.8867,2.62857e-05,679.95,1000000.0,0.32,1.0,112,56
0,third_LDPC_code(112_56),0.00098,4.1522,7.1625,2.0125e-05,503.39,1000000.0,0.31,1.0,112,56
0,third_LDPC_code(112_56),0.000828,4.2934,7.3037,1.672857e-05,4382.02,10000000.0,0.305,1.0,112,56
0,third_LDPC_code(112_56),0.000652,4.437,7.4473,1.3517e-05,383.16,1000000.0,0.3,1.0,112,56
0,third_LDPC_code(112_56),0.00059,4.583,7.5933,1.194107e-05,3189.74,10000000.0,0.295,1.0,112,56
0,third_LDPC_code(112_56),0.0004914,4.7314,7.7417,9.9357e-06,2778.98,10000000.0,0.29,1.0,112,56
0,third_LDPC_code(112_56),0.0004083,4.8825,7.8928,8.3017857e-06,2806.08,10000000.0,0.285,1.0,112,56
0,third_LDPC_code(112_56),0.0003276,5.0362,8.0465,6.717857e-06,2036.33,10000000.0,0.28,1.0,112,56
0,third_LDPC_code(112_56),0.0002094,5.3521,8.3624,4.325e-06,1534.03,10000000.0,0.27,1.0,112,56
0,third_LDPC_code(112_56),0.0001591,5.5145,8.5248,3.31428e-06,1331.28,10000000.0,0.265,1.0,112,56
0,third_LDPC_code(112_56),0.0001202,5.6799,8.6902,2.49464e-06,1176.41,10000000.0,0.26,1.0,112,56
0.0,MacKeyCode_96.33.963_clip0.1,1.0,0.0,-3.0103,0.15942,19.61,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip0.1,0.998,1.9382,-1.0721,0.1046875,18.63,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip0.1,0.663,6.0206,3.0103,0.02271,16.16,1000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip5,0.902,0.0,-3.0103,0.1245,17.33,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip5,0.289,1.9382,-1.0721,0.02796,10.77,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip5,0.00422,4.437,1.4267,0.0003108,307.23,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip5,9.3e-05,6.0206,3.0103,7.8958e-06,1978.39,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip10,0.905,0.0,-3.0103,0.1278125,16.98,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip10,0.275,1.9382,-1.0721,0.0290625,10.39,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip10,0.003,4.437,1.4267,0.0003125,3.59,1000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip10,4e-05,6.0206,3.0103,9.875e-06,1953.81,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip50,0.916,0.0,-3.0103,0.1299,17.34,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip50,0.2909,1.9382,-1.0721,0.02952,102.65,10000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip50,0.002670,4.437,1.4267,0.0002314,305.52,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip50,4e-05,6.0206,3.0103,1.2833e-05,1936.31,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip25,0.899,0.0,-3.0103,0.13023,16.93,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip25,0.2905,1.9382,-1.0721,0.02964,101.95,10000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip25,0.00294,4.437,1.4267,0.0002498,298.29,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip25,0.00037,5.1927,2.1824,5.2042e-05,2316.8,1000000.0,0.55,204,408
0.0,MacKeyCode_96.33.963_clip25,3.2e-05,6.0206,3.0103,9e-06,1935.75,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip25,1.5e-05,6.3752,3.3649,6.5833e-06,1861.03,1000000.0,0.48,204,408
0.0,MacKeyCode_96.33.963_clip25,5e-06,6.9357,3.9254,2.375e-06,1798.38,1000000.0,0.45,204,408
0.0,MacKeyCode_96.33.963_clip25,1.999999999946489e-06,7.1309,4.1206,1e-06,1768.3,1000000.0,0.44,204,408
0.0,MacKeyCode_96.33.963_clip25,2e-06,7.3306,4.3203,1e-06,1766.37,1000000.0,0.43,204,408








0.0,MacKeyCode_96.33.963_clip0.01,1.0,0.0,-3.0103,0.1576875,17.66,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip0.01,0.992,1.9382,-1.0721,0.10616666666666667,18.13,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip0.01,0.9490000000000001,3.7417,0.7314,0.05954166666666666,17.71,1000.0,0.65,204,408
0.0,MacKeyCode_96.33.963_clip0.01,0.6759999999999999,6.0206,3.0103,0.023229166666666662,16.02,1000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip1,1.0,0.0,-3.0103,0.15627083333333333,17.8,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip1,0.991,1.9382,-1.0721,0.10358333333333332,17.74,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip1,0.868,4.437,1.4267,0.0458125,17.73,1000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip1,0.6292,6.0206,3.0103,0.02053125,156.8,10000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.955,0.0,-3.0103,0.1325,17.65,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.473,1.9382,-1.0721,0.042520833333333334,13.09,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.011800000000000031,4.437,1.4267,0.0009270833333333334,39.19,10000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.00034000000000000696,6.0206,3.0103,2.8125e-05,235.29,100000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip20,0.902,0.0,-3.0103,0.1270625,17.58,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip20,0.292,1.9382,-1.0721,0.029580000000000002,10.53,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip20,0.00283,4.437,1.4267,0.00027919999999999996,299.33,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip20,3e-05,6.0206,3.0103,8.582999999999999e-06,1930.78,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip30,0.9,0.0,-3.0103,0.12525,16.98,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip30,0.301,1.9382,-1.0721,0.029710000000000004,10.77,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip30,0.00311,4.437,1.4267,0.0002804,298.17,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip30,4e-05,6.0206,3.0103,1.31875e-05,1961.01,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip100,0.914,0.0,-3.0103,0.130625,17.37,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip100,0.267,1.9382,-1.0721,0.027625,10.4,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip100,0.00313,4.437,1.4267,0.0002773,298.88,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip100,3.66e-05,6.0206,3.0103,1.1417e-05,1922.64,1000000.0,0.5,204,408
